GPU_Configuration,GPU_Count,GPU_Type,GPU_Power_per_Unit_kW,Cluster_Power_kW,Max_Load_Step_kW,Generator_Manufacturer,Generator_Model,Generator_Power_kW,Generator_Type,Load_Acceptance_pct,Load_Acceptance_kW,Step_Within_Limit,Compatibility_Risk,Required_BESS_Type,Required_BESS_Power_kW,Notes
Very_Large_Cluster_H100_SXM,142,H100_SXM,7.0,994,994,Standard,Diesel_Standard,2000,Diesel,70,1400,TRUE,GREEN,Buffer,100,Safe: Diesel generator (70% acceptance) can handle step. Buffer BESS for ride-through.
Small_Cluster_A100_PCIe,4,A100_PCIe,2.5,10,10,Caterpillar,G3520_Fast_Response,2500,Natural_Gas_Fast_Response,100,2500,TRUE,GREEN,No_BESS,0,Safe: Fast-response generator can handle 100% block load. No-BESS viable with proper controls.
Medium_Cluster_A100_PCIe,16,A100_PCIe,2.5,40,40,Caterpillar,G3520_Fast_Response,2500,Natural_Gas_Fast_Response,100,2500,TRUE,GREEN,Buffer,50,Safe: Fast-response generator can handle step. Buffer BESS for ride-through.
Medium_Cluster_A100_PCIe,16,A100_PCIe,2.5,40,40,Caterpillar,CG170-16,1560,Natural_Gas,20,312,TRUE,GREEN,Buffer,50,Safe: CG170 can handle 20% step (312kW > 40kW). Buffer BESS recommended.
Large_Cluster_A100_PCIe,64,A100_PCIe,2.5,160,160,Caterpillar,G3520_Fast_Response,2500,Natural_Gas_Fast_Response,100,2500,TRUE,GREEN,Buffer,75,Safe: Fast-response generator can handle step. Buffer BESS for ride-through.
Large_Cluster_A100_PCIe,64,A100_PCIe,2.5,160,160,Caterpillar,CG170-16,1560,Natural_Gas,20,312,TRUE,GREEN,Buffer,75,Safe: CG170 can handle 20% step (312kW > 160kW). Buffer BESS recommended.
Very_Large_Cluster_A100_PCIe,142,A100_PCIe,2.5,355,355,Caterpillar,G3520_Fast_Response,2500,Natural_Gas_Fast_Response,100,2500,TRUE,GREEN,Buffer,100,Safe: Fast-response generator can handle step. Buffer BESS for ride-through.
Very_Large_Cluster_A100_PCIe,142,A100_PCIe,2.5,355,355,Caterpillar,CG260-16,4300,Natural_Gas_CG260,16,688,TRUE,GREEN,Grid_Forming,300,Large generator with multi-step ramp. Grid-forming BESS recommended for islanded operation.
Very_Large_Cluster_A100_PCIe,142,A100_PCIe,2.5,355,355,Caterpillar,CG170-16,1560,Natural_Gas,20,312,FALSE,YELLOW,Grid_Forming,400,Marginal: CG170 first step (312kW) close to GPU step (355kW). Grid-forming BESS recommended.
Very_Large_Cluster_A100_PCIe,142,A100_PCIe,2.5,355,355,Standard,Natural_Gas_Standard,1000,Natural_Gas,30,300,FALSE,YELLOW,Grid_Forming,400,Marginal: Standard natural gas (30% acceptance) close to GPU step (355kW). Grid-forming BESS recommended.
Very_Large_Cluster_A100_PCIe,142,A100_PCIe,2.5,355,355,Standard,Diesel_Standard,1000,Diesel,70,700,TRUE,GREEN,Buffer,75,Safe: Diesel generator (70% acceptance) can handle step. Buffer BESS for ride-through.
,,,,,,,,,,,,,,,,
